started,video,serverSynFlags,serverFinFlags,serverAckFlags,serverUrgFlags,serverRstFlags,serverPshFlags,serverByteCount,serverPacketCount,serverMinBytesPerPacket,serverMaxBytesPerPacket,serverMedBytesPerPacket,serverAvgBytesPerPacket,serverStdBytesPerPacket,serverKurBytesPerPacket,serverSkeBytesPerPacket,serverMinBytesInFlight,serverMaxBytesInFlight,serverMedBytesInFlight,serverAvgBytesInFlight,serverStdBytesInFlight,serverKurBytesInFlight,serverSkeBytesInFlight,serverMinInterArrivalTime,serverMaxInterArrivalTime,serverMedInterArrivalTime,serverAvgInterArrivalTime,serverStdInterArrivalTime,serverKurInterArrivalTime,serverSkeInterArrivalTime,serverMinRwnd,serverMaxRwnd,serverMedRwnd,serverAvgRwnd,serverStdRwnd,serverKurRwnd,serverSkeRwnd,serverThroughput,serverIdleTime,serverOutOfOrderBytes,serverOutOfOrderPackets,serverZeroRetransmit,serverOneRetransmit,serverTwoRetransmit,serverXRetransmit,serverMinRetransmit,serverMaxRetransmit,serverMedRetransmit,serverAvgRetransmit,serverStdRetransmit,serverKurRetransmit,serverSkeRetransmit,serverGoodput,userSynFlags,userFinFlags,userAckFlags,userUrgFlags,userRstFlags,userPshFlags,userByteCount,userPacketCount,userMinBytesPerPacket,userMaxBytesPerPacket,userMedBytesPerPacket,userAvgBytesPerPacket,userStdBytesPerPacket,userKurBytesPerPacket,userSkeBytesPerPacket,userMinBytesInFlight,userMaxBytesInFlight,userMedBytesInFlight,userAvgBytesInFlight,userStdBytesInFlight,userKurBytesInFlight,userSkeBytesInFlight,userMinInterArrivalTime,userMaxInterArrivalTime,userMedInterArrivalTime,userAvgInterArrivalTime,userStdInterArrivalTime,userKurInterArrivalTime,userSkeInterArrivalTime,userMinRwnd,userMaxRwnd,userMedRwnd,userAvgRwnd,userStdRwnd,userKurRwnd,userSkeRwnd,userThroughput,userIdleTime,userOutOfOrderBytes,userOutOfOrderPackets,userZeroRetransmit,userOneRetransmit,userTwoRetransmit,userXRetransmit,userMinRetransmit,userMaxRetransmit,userMedRetransmit,userAvgRetransmit,userStdRetransmit,userKurRetransmit,userSkeRetransmit,userGoodput,userMinRTT,userMaxRTT,userMedRTT,userAvgRTT,userStdRTT,userKurRTT,userSkeRTT
0,4300,7,0,1189,0,0,68,1694182,1189,0,1460,1460,1424.879731,210.118629,37.667674,-6.199268,0,1359060402,37229.5,46492746.16,246951958.4,24.285398,5.126929,0.000001,0.999579,0.000001,0.005131,0.038354,399.702946,17.213521,64240,64240,64240,64240,0,-3,0,677672.8,0,2879161,2018,0.679167,0.327748,0.101896,0.366375,0,6,2,1.943069,1.503865,-0.710808,0.476778,677672.8,2,0,702,0,0,8,5609,704,0,1041,0,7.96733,83.209964,133.35917,11.401686,0,1041,0,177,327.873604,1.888797,1.801012,0.000009,0.99995,0.000015,0.008545,0.050022,225.404995,12.78596,29200,65535,65535,64341.875,5308.608254,34.588565,-5.932709,8012.857143,2,1031,245,2.716667,0,0.0625,0.258333,0,281,0,49.285714,96.75553,0.709516,1.576441,8012.857143,0.068903,0.334024,0.192523,0.199835,0.078607,-0.294471,0.06714
1,4301,7,0,498,0,0,49,670947,498,0,1460,1460,1347.283133,377.81127,8.173925,-3.172794,1,64239,26280,30336.82114,22789.29549,-1.45501,0.20107,0.000001,0.1139,0.000001,0.004756,0.020405,17.782939,4.398652,64240,64240,64240,64240,0,-3,0,372748.3333,14,1350747,992,0.868056,0.543478,0.169082,0.097308,0,13,1,1.964286,2.303964,1.816882,1.284679,372748.3333,3,0,313,0,0,15,1842,316,0,277,0,5.829114,31.128601,43.619219,6.38989,0,277,0,59.181818,80.541145,0.724955,1.335726,0.00001,0.21772,0.000014,0.007613,0.027595,16.899122,3.988606,29200,65535,64240,61351.91772,8819.975054,5.988571,-2.724053,3684,16,0,0,2.604167,0,0,0.131944,0,291,0,14.047619,61.934279,16.042859,4.247211,3684,0.025988,0.287056,0.109911,0.126924,0.087337,-1.292525,0.359815
0,4302,12,1,1170,0,0,96,1596078,1170,0,1460,1460,1364.169231,347.584301,10.549473,-3.517466,0,2061011865,47068,87594379.37,395515434.6,19.002131,4.513286,0.000001,11.725874,0.000001,0.04015,0.495468,342.054232,17.523656,64239,64240,64240,64239.99829,0.04131,580.001712,-24.124712,380018.5714,16,5697368,4133,0.745238,0.181701,0.044604,0.141801,0,22,1,0.979695,1.454183,72.328037,5.674194,380018.5714,3,2,691,0,0,30,4089,694,0,803,0,5.891931,40.733917,220.099232,12.912913,0,1378229271,0,62646838.89,287083610.4,17.047619,4.364358,0.00001,11.373138,0.000018,0.067993,0.695859,196.980205,13.710656,29200,65535,64240,63141.93804,6782.366394,14.468422,-3.907526,2555.625,19,0,0,5.216667,0.10119,0.071429,0.082143,0,480,0,16.794872,79.578756,26.752052,5.217081,2555.625,0.030994,1.027822,0.157118,0.233008,0.229357,4.543818,2.190121
0,4303,2,2,1113,0,0,208,1598169,1113,0,1460,1460,1435.911051,178.702743,56.371662,-7.576735,1,64239,21900,27309.08362,20121.24866,-1.166867,0.467301,0.000001,0.483459,0.000003,0.003993,0.024284,147.331866,9.814496,64239,64240,64240,64239.9982,0.042352,551.5018,-23.526619,887871.6667,20,1598169,1111,0.833333,0.093909,0,0.002046,0,3,0,0.090108,0.306172,19.559524,3.869137,887871.6667,2,2,524,0,0,6,1734,526,0,518,0,3.296578,35.386399,169.802993,12.60386,0,518,0,108.5,172.648849,0.967967,1.517242,0.000001,0.438999,0.000058,0.008911,0.033829,53.437002,5.907835,29200,65535,65535,63886.43536,5851.155128,20.842013,-4.583275,5780,21,0,0,1.666667,0,0,0.166667,0,279,0,42.833333,96.198435,1.386779,1.823735,5780,0.102997,0.31805,0.180483,0.196536,0.082892,-1.459397,0.307577
1,4304,16,1,4546,0,0,259,6540417,4546,0,1460,1460,1438.719094,162.337928,64.773188,-8.025797,1,64239,51099,44525.66155,19291.24428,-0.407048,-0.890514,0.000001,9.748548,0.000001,0.007068,0.15185,3741.216898,59.125703,64240,64240,64240,64240,0,-3,0,641217.3529,0,19621251,13591,0.769444,0.270504,0.147108,0.324112,0,8,2,2.390007,1.862745,-0.617809,0.38181,641217.3529,5,0,3129,0,0,19,12122,3134,0,1043,0,3.8679,57.806201,293.58989,16.857532,0,1043,0,275.590909,403.939314,-0.27984,1.196801,0.000002,2.138859,0.000013,0.007498,0.053854,858.032867,24.372108,29200,65535,65535,64727.90811,3946.836407,58.876765,-7.596072,8081.333333,9,0,0,3.847222,0.1,0,0.130556,0,2185,0,107.068966,425.995866,16.951378,4.214904,8081.333333,0.102997,0.28491,0.211,0.19864,0.055784,-1.237203,-0.295367
0,4305,2,2,967,0,0,189,1389389,967,0,1460,1460,1436.803516,175.905901,58.012067,-7.691098,1,64239,17520,23132.24181,17525.39071,-0.616965,0.696341,0.000001,0.647863,0.000003,0.004508,0.028767,262.424085,13.26877,64239,64240,64240,64239.99793,0.045431,478.502073,-21.920357,771882.7778,47,1389389,965,0.833333,0,0,0.002178,0,3,0,0.006243,0.136717,475.502086,21.851821,771882.7778,2,2,331,0,0,6,1734,333,0,518,0,5.207207,44.362102,105.777303,9.975521,0,518,0,108.5,172.648849,0.967967,1.517242,0.000001,0.608784,0.000066,0.013802,0.046533,79.674248,7.189543,29200,65535,65535,63094.29429,7225.155912,11.580752,-3.520212,5780,48,0,0,1.666667,0,0,0.166667,0,189,0,26.75,60.935929,1.961173,1.931992,5780,0.111103,0.228167,0.155568,0.166575,0.042328,-1.404573,0.290508
0,4306,20,0,2627,0,0,209,3655785,2627,0,1460,1460,1391.619718,293.235868,16.799585,-4.289384,0,64239,52558.5,45836.66667,19511.50782,-0.127159,-1.000313,0.000001,11.004848,0.000001,0.015851,0.283134,1112.673169,31.971525,64239,64240,64240,64239.99962,0.019507,2622.000381,-51.224998,393095.1613,8,14610396,10368,0.778975,0.183038,0.134455,0.18482,0,26,1,1.034857,1.317649,98.41569,5.790766,393095.1613,5,1,2162,0,0,39,5385,2167,0,351,0,2.485002,22.591855,135.399026,11.156545,0,2307,40,111,269.308244,48.677557,6.440189,0.00001,10.832721,0.000012,0.017584,0.300919,1033.078185,31.278974,29200,65535,65535,64451.89663,5142.43069,30.750705,-5.597102,2991.666667,16,750,11,4.673851,0.055556,0,0.165469,0,1975,0,41.490196,273.971329,45.640791,6.889388,2991.666667,0.046015,1.982927,0.197887,0.310074,0.355197,12.142667,3.2522
0,4307,52,0,1598,0,0,169,2065095,1598,0,1460,1460,1292.29975,443.83789,3.851821,-2.385391,1,78376,43660,36744.15574,25011.31064,-1.456315,-0.266792,0.000001,4.774413,0.000003,0.020474,0.196484,468.829981,20.629245,64240,64240,64240,64240,0,-3,0,382425,11,7748624,5780,0.773585,0.170435,0.076669,0.210196,0,20,0,0.633947,1.220544,75.031313,6.002411,382425,16,0,1084,0,0,60,9436,1100,0,351,0,8.578182,41.643228,30.094665,5.433238,0,735,0,84.553191,124.175489,4.532404,1.850892,0.000001,5.023099,0.000051,0.032356,0.245205,316.888728,16.818464,29200,65535,65535,60376.12727,10883.76211,2.15674,-1.967677,4493.333333,15,0,0,12.377355,0.0625,0.020833,0.143082,0,753,0,11.087912,79.443621,80.623841,8.977451,4493.333333,0.040054,0.470161,0.150442,0.170518,0.10057,0.695361,1.036801
0,4308,12,2,3595,0,0,261,5187021,3595,0,1460,1460,1442.843115,151.853811,81.081505,-9.040297,1,64239,58399,51067.97078,16971.70839,1.47248,-1.504143,0.000001,16.501032,0.000001,0.014249,0.364369,1480.371803,37.245881,64239,64240,64240,64239.99972,0.016676,3590.000278,-59.933299,582811.3483,9,20748084,14332,0.757937,0.247686,0.244445,0.259705,0,5,2,1.848653,1.608735,-1.035901,0.40887,582811.3483,3,1,3430,0,0,7,2833,3433,0,1077,0,0.825226,22.261986,1659.545546,37.569014,0,4336,0,304.7,935.113956,14.277339,3.983536,0.000003,16.045947,0.000012,0.014852,0.385516,1327.644141,35.771304,29200,65535,65535,65221.54675,3128.764547,102.510984,-10.116371,4721.666667,17,0,0,2.27381,0,0.111111,0.130952,0,3402,0,244.214286,875.820609,9.076467,3.328089,4721.666667,0.08893,0.72813,0.200987,0.266552,0.194374,1.654685,1.774326
1,4309,18,4,2168,0,0,251,2918685,2168,0,1460,1460,1346.256919,367.685631,8.111431,-3.132955,0,1408708453,46488,6699356.788,96632851.19,206.504726,14.439692,0.000001,7.395708,0.000002,0.010539,0.177079,1434.955631,36.050161,64240,64240,64240,64240,0,-3,0,456044.5313,9,5629295,4105,0.621507,0.101443,0.027358,0.21836,0,31,0,0.78143,1.46329,154.606127,8.630027,456044.5313,5,0,1855,0,0,67,9610,1860,0,734,0,5.166667,37.506532,172.732346,11.602736,0,848824049,42,23415939.29,139023788.5,31.278369,5.768741,0.00001,7.460551,0.000027,0.01332,0.193285,1214.48497,32.958085,29200,65535,65535,63644.16936,6497.005712,15.640638,-4.055449,3313.793103,12,1207,67,7.458088,0.256944,0,0.121548,0,1397,0,21.409639,153.759007,74.195277,8.639543,3313.793103,0.014067,1.854897,0.149965,0.205886,0.254221,30.553539,5.180516
