started,video,serverSynFlags,serverFinFlags,serverAckFlags,serverUrgFlags,serverRstFlags,serverPshFlags,serverByteCount,serverPacketCount,serverMinBytesPerPacket,serverMaxBytesPerPacket,serverMedBytesPerPacket,serverAvgBytesPerPacket,serverStdBytesPerPacket,serverKurBytesPerPacket,serverSkeBytesPerPacket,serverMinBytesInFlight,serverMaxBytesInFlight,serverMedBytesInFlight,serverAvgBytesInFlight,serverStdBytesInFlight,serverKurBytesInFlight,serverSkeBytesInFlight,serverMinInterArrivalTime,serverMaxInterArrivalTime,serverMedInterArrivalTime,serverAvgInterArrivalTime,serverStdInterArrivalTime,serverKurInterArrivalTime,serverSkeInterArrivalTime,serverMinRwnd,serverMaxRwnd,serverMedRwnd,serverAvgRwnd,serverStdRwnd,serverKurRwnd,serverSkeRwnd,serverThroughput,serverIdleTime,serverOutOfOrderBytes,serverOutOfOrderPackets,serverZeroRetransmit,serverOneRetransmit,serverTwoRetransmit,serverXRetransmit,serverMinRetransmit,serverMaxRetransmit,serverMedRetransmit,serverAvgRetransmit,serverStdRetransmit,serverKurRetransmit,serverSkeRetransmit,serverGoodput,userSynFlags,userFinFlags,userAckFlags,userUrgFlags,userRstFlags,userPshFlags,userByteCount,userPacketCount,userMinBytesPerPacket,userMaxBytesPerPacket,userMedBytesPerPacket,userAvgBytesPerPacket,userStdBytesPerPacket,userKurBytesPerPacket,userSkeBytesPerPacket,userMinBytesInFlight,userMaxBytesInFlight,userMedBytesInFlight,userAvgBytesInFlight,userStdBytesInFlight,userKurBytesInFlight,userSkeBytesInFlight,userMinInterArrivalTime,userMaxInterArrivalTime,userMedInterArrivalTime,userAvgInterArrivalTime,userStdInterArrivalTime,userKurInterArrivalTime,userSkeInterArrivalTime,userMinRwnd,userMaxRwnd,userMedRwnd,userAvgRwnd,userStdRwnd,userKurRwnd,userSkeRwnd,userThroughput,userIdleTime,userOutOfOrderBytes,userOutOfOrderPackets,userZeroRetransmit,userOneRetransmit,userTwoRetransmit,userXRetransmit,userMinRetransmit,userMaxRetransmit,userMedRetransmit,userAvgRetransmit,userStdRetransmit,userKurRetransmit,userSkeRetransmit,userGoodput,userMinRTT,userMaxRTT,userMedRTT,userAvgRTT,userStdRTT,userKurRTT,userSkeRTT
1,1,8,0,4758,0,0,619,6597425,4758,0,1460,1460,1386.596259,299.43399,14.86979,-4.04525,1,64239,26280,29143.96417,19997.64734,-1.127057,0.344745,0.000001,3.746605,0.000002,0.003531,0.083256,1350.493406,35.408417,64240,64240,64240,64240,0,-3,0,2356223.214,8,6597425,4750,0.877399,0.041733,0,0.023738,0,66,0,0.023006,1.00081,4062.595698,62.145436,2356223.214,8,0,1326,0,1,113,24799,1334,0,1123,0,18.589955,106.255571,82.484261,8.677913,0,1539,46,127.081197,258.023615,10.090842,3.156039,0.000004,3.745822,0.000026,0.012702,0.157134,374.363663,18.675689,21900,65535,65535,62934.11919,7730.563434,9.866392,-3.327453,9919.6,9,0,0,7.01919,0,0,0.122601,0,795,0,9.261538,74.952247,92.419084,9.452224,9919.6,0.034809,3.79014,0.226021,0.542573,0.743871,5.210835,2.347125
1,2,10,1,2576,0,0,409,3468327,2576,0,1460,1460,1346.400233,367.753461,8.003201,-3.110506,1,64239,24820,28507.80248,21005.57332,-1.269926,0.320039,0.000001,10.160935,0.000001,0.008258,0.218426,1835.930754,40.858671,64239,64240,64240,64239.99922,0.027853,1283.000777,-35.846907,2040192.353,9,3468327,2566,0.859776,0.030952,0.027381,0.030961,0,59,0,0.038291,1.219115,2204.305529,45.917401,2040192.353,10,1,1004,0,2,104,23942,1014,0,1122,0,23.61144,115.229763,62.050954,7.427305,0,1701,38,123.730594,254.969665,12.147344,3.329478,0.000001,10.648825,0.000025,0.042283,0.585555,294.935318,16.936089,26280,65535,65535,61900.52466,9517.783988,5.230458,-2.60807,12601.05263,9,0,0,8.59776,0,0.02,0.120224,0,528,0,6.984252,52.788537,77.606492,8.694409,12601.05263,0.053883,2.684116,0.172019,0.362557,0.491304,6.361177,2.527842
1,3,8,0,3092,0,0,420,4182787,3092,0,1460,1460,1352.777167,353.259871,8.64175,-3.19497,1,64239,24820,27927.48166,20089.60997,-1.190483,0.343145,0.000001,6.491557,0.000002,0.005687,0.138074,1665.082147,38.420026,64240,64240,64240,64240,0,-3,0,1673114.8,9,4182787,3084,0.881243,0.041667,0,0.024888,0,65,0,0.034114,1.226044,2636.318486,50.155322,1673114.8,8,0,869,0,2,110,23758,877,0,1122,0,27.09008,125.335226,55.884915,7.144999,0,1651,46,123.592105,253.077437,12.18037,3.397258,0.000002,10.268741,0.000028,0.032054,0.433654,414.071964,19.471408,29200,65535,65535,61950.86089,9082.541664,5.284274,-2.591658,10329.56522,9,0,0,7.049941,0,0,0.118757,0,473,0,5.851563,44.881109,90.961338,9.358602,10329.56522,0.030041,2.856016,0.156879,0.255767,0.391423,26.071921,4.854935
1,4,8,0,2828,0,0,439,3877673,2828,0,1460,1460,1371.171499,327.19424,11.482635,-3.613683,1,64239,24820,27629.64451,19194.25772,-1.103062,0.322614,0.000001,6.462107,0.000001,0.005916,0.134789,1886.456726,40.914849,64240,64240,64240,64240,0,-3,0,2040880.526,9,3877673,2820,0.848822,0.036007,0.063032,0.004549,0,51,0,0.028364,0.996318,2490.469938,49.013432,2040880.526,8,0,877,0,2,82,20895,885,0,1121,0,23.610169,119.735464,60.27853,7.403137,0,1540,46,144.127907,275.807052,8.028804,2.835787,0.000001,10.716711,0.000025,0.031391,0.433969,471.676216,20.902283,29200,65535,65535,62440.1887,8754.50482,7.498265,-3.004977,9497.727273,9,0,0,6.790572,0,0.05,0.101178,0,406,0,7.85,47.782502,50.677741,6.989066,9497.727273,0.046968,3.43895,0.18239,0.339373,0.551343,19.720126,4.336917
1,5,7,0,4760,0,0,720,6638497,4760,0,1460,1460,1394.642227,278.814653,17.40734,-4.325356,1,64239,33580,33479.69691,20729.21494,-1.393858,-0.001312,0.000001,3.480823,0.000002,0.002802,0.073522,1580.061053,38.416291,64240,64240,64240,64240,0,-3,0,2886303.043,9,6638497,4753,0.871389,0.047619,0,0.010014,0,66,0,0.020146,0.985983,4296.763582,64.511214,2886303.043,7,0,1454,0,1,101,23189,1461,0,1143,0,15.872005,99.264658,97.400028,9.41131,0,1713,46,130.760766,269.190316,11.090815,3.258904,0.000001,3.480234,0.000021,0.009193,0.132661,480.670692,21.216597,21900,65535,65535,63555.72895,6918.723342,14.515585,-3.929711,10082.17391,9,0,0,6.099721,0,0,0.128611,0,794,0,11.594828,80.165882,76.684578,8.494132,10082.17391,0.054836,16.416788,0.226021,0.807449,2.363587,35.202825,5.908839
1,6,8,0,4173,0,0,547,5774828,4173,0,1460,1460,1383.85526,306.705606,14.260868,-3.977665,1,89060,29200,31599.7587,20226.21906,-1.266644,0.154185,0.000001,3.54649,0.000001,0.003697,0.091244,1045.366156,31.604731,64240,64240,64240,64240,0,-3,0,3039383.158,9,5774828,4165,0.871374,0.03869,0,0.019757,0,60,0,0.023045,0.96847,3606.783432,58.684317,3039383.158,8,0,1271,0,1,102,23776,1279,0,1123,0,18.589523,107.134857,77.998377,8.447494,0,1825,38,128.018868,271.823367,11.800873,3.302674,0.000001,3.51034,0.000023,0.012149,0.164218,313.897585,17.366277,17520,65535,65535,62958.76466,7911.218322,9.628671,-3.290521,11321.90476,9,0,0,6.970996,0,0,0.128626,0,788,0,9.747899,75.561675,92.471145,9.464467,11321.90476,0.049114,1.807928,0.150919,0.234565,0.254923,15.6956,3.571648
1,7,10,0,4595,0,0,672,6341766,4595,0,1460,1460,1380.14494,312.645504,13.320658,-3.858027,1,72999,33580,33446.66798,19958.50812,-1.259217,-0.043226,0.000001,4.983465,0.000001,0.003695,0.100986,1674.651554,39.199203,64240,64240,64240,64240,0,-3,0,2882620.909,9,6341766,4585,0.863061,0.028571,0.033175,0.015828,0,72,0,0.025212,1.104547,4022.450067,62.108576,2882620.909,10,0,1469,0,2,123,27285,1479,0,1123,0,18.448276,102.098342,81.270044,8.48385,0,1123,46,123.816406,230.442936,9.412206,2.99974,0.000001,10.819223,0.000024,0.018997,0.333437,789.695022,26.490208,29200,65535,65535,62972.40027,7973.533484,9.111352,-3.241443,10914,8,0,0,8.630606,0,0,0.136939,0,973,0,9.2,83.676438,119.164793,10.776397,10914,0.002861,37.720919,0.230074,0.829799,3.637835,95.843735,9.749083
1,8,10,0,5007,0,0,678,6991203,5007,0,1460,1460,1396.2858,281.643339,18.08044,-4.42359,1,67159,34796,33868.5254,20337.59067,-1.355461,-0.067673,0.000001,3.728896,0.000001,0.003532,0.091526,1311.013281,35.352615,64240,64240,64240,64240,0,-3,0,2913001.25,8,6991203,4997,0.864648,0.035634,0.030952,0.017119,0,62,0,0.025814,0.915028,4310.996551,64.037469,2913001.25,10,0,1476,0,2,110,27895,1486,0,1123,0,18.771871,108.212541,77.383234,8.400317,0,1731,19,136.034783,275.678402,9.645531,3.053988,0.000002,11.286142,0.000025,0.027224,0.443884,546.115566,22.546554,29200,65535,65535,62831.14065,7956.823345,8.829406,-3.168315,11158,8,0,0,8.646484,0,0,0.135352,0,513,0,10.257576,65.051218,42.268128,6.582557,11158,0.037909,2.48909,0.148058,0.287176,0.369328,12.547111,3.187841
1,9,10,0,4264,0,0,512,5876606,4264,0,1460,1460,1378.190901,313.100443,13.043959,-3.813867,1,64239,26280,29119.67232,19718.68533,-1.158581,0.311411,0.000001,5.245698,0.000002,0.004007,0.108345,1635.651417,38.772911,64240,64240,64240,64240,0,-3,0,2448585.833,8,5876606,4254,0.874178,0.05,0,0.027196,0,62,0,0.02574,1.001832,3525.389636,57.595958,2448585.833,10,0,1080,0,3,117,26442,1090,0,1123,0,24.258716,119.678932,61.383744,7.470791,0,1123,38,117.95082,239.178833,9.588576,3.107724,0.000002,10.952187,0.00003,0.045423,0.597765,276.617561,16.271196,29200,65535,65535,61947.14679,9132.395506,5.334744,-2.618916,11496.52174,9,0,0,8.741783,0,0,0.125822,0,464,0,6.785714,47.093188,69.340197,8.144337,11496.52174,0.036001,1.937151,0.127077,0.196962,0.253068,22.305566,4.336909
0,10,12,0,2968,0,0,549,3961458,2968,0,1460,1460,1334.723046,383.596081,6.831374,-2.920197,1,67159,29200,30692.79076,20196.50048,-1.299797,0.12723,0.000001,5.499525,0.000001,0.006001,0.12693,1307.346523,33.778768,64240,64240,64240,64240,0,-3,0,1467206.667,8,3961458,2956,0.872932,0.053571,0,0.025924,0,59,0,0.042867,1.211443,2001.544761,42.66683,1467206.667,12,0,1502,0,4,135,27071,1514,0,1122,0,17.880449,95.197047,92.164421,8.907539,0,1708,46,116.284698,230.124438,15.425313,3.637407,0.000001,11.450747,0.000029,0.041281,0.595027,313.210342,17.428076,29200,65535,65535,62580.29062,8572.200502,7.149548,-2.942406,9668.214286,8,0,0,10.475184,0,0,0.127068,0,897,0,8.288344,72.709163,134.48169,11.392189,9668.214286,0.035048,2.411127,0.170946,0.292176,0.413904,11.498876,3.377921
