id,latitude,longitude,population
Heuven,51.93333333,6.316666667,9287
Hoek van Holland,51.9775,4.13333,9382
Sonniuswijk,51.51666667,0.083333333,9542
Wieler,51.25,6.016666667,9544
Moershoofde,51.25,3.516666667,9624
Immingham,53.61239,-0.22219,9642
Mun,51.83333333,5.566666667,9852
Wijnbergen,51.95,6.283333333,10152
Boekhorst,52.98333333,6.3,10294
Gouda,52.01666667,4.7,10566
Linschoten,52.0625,4.9,10605
Sint-Michielsgestel,51.63333333,0.083333333,10649
Hoog Spul,51.46666667,0.083333333,10757
Walsert,51.65,0.083333333,11549
Passerot,51.81666667,5.716666667,11742
Vlist,51.98055556,4.816666667,11908
Blauwe Keet,52.9,4.783333333,12140
Loete,52.08888889,4.633333333,13514
Klaarwater,52.16666667,5.483333333,13840
Hollum,53.41666667,5.633333333,13869
Midsland Noord,53.4,5.283333333,14021
Gronsveld,50.81666667,5.733333333,14415
Pals,51.95,5.966666667,14988
De Noord,52.71666667,4.85,15291
Ekehaar,52.95277778,6.602777778,16006
Oudenbosch,51.58333333,0.066666667,16545
Meerssen,50.88333333,5.75,17077
Handel,51.56666667,0.083333333,17284
De Veenhuis,52.21666667,5.433333333,17384
Hommelse Hoeven,51.65,0.083333333,17449
De Glind,52.11666667,5.5,17530
Dalerveen,52.69166667,6.811111111,17990
Stellendam,51.80555556,4.016666667,18116
Wernhoutsbrug,51.41666667,0.066666667,18427
Putselaar,51.68333333,0.083333333,18566
Scheldevaartshoek,51.31666667,4.083333333,18696
Hulsbeek,51.65,0.083333333,19023
Den Burg,53.05,4.8,19156
Bent,52.10555556,4.55,19762
Zoomvliet,51.48333333,0.066666667,19808
Midlum,53.18333333,5.45,19910
Overberg,52.04027778,5.483333333,19963
Steenplaats,51.73194444,4.566666667,20785
Tjalleberd,53,5.95,20835
Voorschoten,52.12777778,4.433333333,20973
Oosteinde,52.73888889,6.283333333,21500
Bavel,51.56666667,0.066666667,21648
Meddo,52.01666667,6.7,21859
Hedel,51.51666667,0.083333333,21924
Heide,51.25,6.05,21994
Hoornsterzwaag,53,6.166666667,22131
Oud Ootmarsum,52.41805556,6.9,22207
Woensdrecht,51.41666667,0.066666667,22443
Cuijk,51.71666667,0.083333333,22744
't Schoor,53.4,5.983333333,22787
Biessum,53.33333333,0.883333333,22926
Eextahaven,53.15,0.983333333,23160
Felixstowe,51.96375,1.3511,23689
Mariadorp,50.78333333,5.716666667,24058
Raath,50.96666667,5.933333333,24117
Rha,52.05,6.15,24259
Doornhoek,51.6,0.083333333,24850
Brandwijk,51.89027778,4.8,25458
