src,dst,relationship,cost
Amsterdam,Utrecht,EROAD,46
Amsterdam,Den Haag,EROAD,59
Den Haag,Rotterdam,EROAD,26
Amsterdam,Immingham,EROAD,369
Immingham,Doncaster,EROAD,74
Doncaster,London,EROAD,277
Hoek van Holland,Den Haag,EROAD,27
Felixstowe,Hoek van Holland,EROAD,207
Ipswich,Felixstowe,EROAD,22
Colchester,Ipswich,EROAD,32
London,Colchester,EROAD,106
Gouda,Rotterdam,EROAD,25
Gouda,Utrecht,EROAD,35
Den Haag,Gouda,EROAD,32
Hoek van Holland,Rotterdam,EROAD,33
Aalden,Vrouwenparochie,EROAD,201
Achterste Erm,Rheezerveen,EROAD,118
Achter 't Hout,Kolderveen,EROAD,43
Altena,Ruigenhoek,EROAD,208
Alteveer,Mun,EROAD,296
Alteveer,Leeuwarden,EROAD,257
Alting,Karstraat,EROAD,57
Amen,Helvoirt,EROAD,181
Amerika,Rozewerf,EROAD,244
Amsterdamscheveld,Deuteren,EROAD,110
Anderen,Maalbergen,EROAD,190
Anholt,Heesboom,EROAD,360
Anloo,Biezenmortel,EROAD,183
Annen,Neersteind,EROAD,74
Annerveenschekanaal,Bronkhorst,EROAD,277
Anreep,Ratum,EROAD,196
Ansen,Vuile Riete,EROAD,72
Armweide,Sweikhuizen,EROAD,225
Assen,Westeneng,EROAD,102
Balinge,Schoor,EROAD,27
Balloo,Zwagerveen,EROAD,141
Barger-Compascuum,Augsbuurt-Lutjewoude,EROAD,167
Barger-Erfscheidenveen,Wessinghuizen,EROAD,280
Barger-Oosterveen,Honderdmorgen,EROAD,251
Barger-Oosterveld,Espelo,EROAD,380
Bazuin,Nieuwe Bildtzijl,EROAD,264
Beilen,Oudeschip,EROAD,388
Beilervaart,Zaamslagveer,EROAD,121
Benderse,Kettingwier,EROAD,377
Berghuizen,Gouda,EROAD,205
Blijdenstein,Oosterzij,EROAD,37
Bloemberg,Bekveld,EROAD,280
Boerelaan,Schippersbeek,EROAD,111
Boermastreek,Ferwerd ,EROAD,73
Bonnen,Wirdum,EROAD,382
Bonnerveen,Dommelen,EROAD,330
Borger,Langereit,EROAD,331
Bosje,Oostbuurt,EROAD,52
Boterveen,Ankeveense Rade,EROAD,300
Bovensmilde,Geulhem,EROAD,371
Bovenstreek,Humcoven,EROAD,173
Broekhuizen,Jousterp,EROAD,387
Bronneger,Kuitaart,EROAD,393
Bronnegerveen,Schurenberg,EROAD,238
Brunsting,Egypte,EROAD,341
Bruntinge,Siddeburen,EROAD,115
Buinen,Fromberg,EROAD,148
Buinerveen,Bingerden,EROAD,325
Buitenhuizen,De Stapel,EROAD,310
Bunne,Hoorn,EROAD,171
Busselte,Elft,EROAD,400
Coevorden,Terhagen,EROAD,207
